
Section: Summary   Original data
Tabulated Data:   pendf.json   endf.json
Points: 799
Energy (eV)	 
Min
1e-05	Max
2e+07	
From
1e-05
To
2e+07
Get data:
Calculation of Cross Section
for a Single Energy:
Energy (eV) = 
1e-05
Cross Section (b) = 
#LIBRARY    ENDF/B-VIII.0
#REACTION   LI-6(N,TOT),SIG
#NUCLEUS    Li-6
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 66.4498     19.0026      Lin-Lin
 72.2769     18.2514      Lin-Lin
 78.0682     17.5911      Lin-Lin
 78.615      17.5288      Lin-Lin
 86.1121     16.7769      Lin-Lin
 86.7153     16.724       Lin-Lin
 93.6634     16.1146      Lin-Lin
 94.3195     16.0642      Lin-Lin
 101.877     15.4844      Lin-Lin
 102.59      15.4296      Lin-Lin
 110.811     14.8736      Lin-Lin
 111.587     14.8211      Lin-Lin
 119.684     14.3396      Lin-Lin
 120.528     14.2894      Lin-Lin
 132.015     13.6818      Lin-Lin
 132.947     13.6389      Lin-Lin
 143.592     13.1488      Lin-Lin
 155.097     12.68        Lin-Lin
 156.184     12.6357      Lin-Lin
 171.078     12.1023      Lin-Lin
 172.276     12.0651      Lin-Lin
 187.384     11.5957      Lin-Lin
 202.398     11.1855      Lin-Lin
 203.816     11.1467      Lin-Lin
 221.689     10.7184      Lin-Lin
 223.252     10.6809      Lin-Lin
 239.452     10.3405      Lin-Lin
 241.129     10.3052      Lin-Lin
 264.124     9.87532      Lin-Lin
 265.974     9.84522      Lin-Lin
 287.285     9.49848      Lin-Lin
 310.289     9.16716      Lin-Lin
 312.478     9.13564      Lin-Lin
 325.891     8.96585      Lin-Lin
 342.26      8.75875      Lin-Lin
 344.675     8.73225      Lin-Lin
 374.9       8.4005       Lin-Lin
 404.919     8.1113       Lin-Lin
 407.775     8.08379      Lin-Lin
 440.427     7.80858      Lin-Lin
 449.791     7.72965      Lin-Lin
 479.048     7.51501      Lin-Lin
 489.234     7.44029      Lin-Lin
 532.136     7.16241      Lin-Lin
 570.747     6.94333      Lin-Lin
 578.799     6.89764      Lin-Lin
 620.797     6.68694      Lin-Lin
 638.437     6.59844      Lin-Lin
 684.762     6.3982       Lin-Lin
 689.559     6.37928      Lin-Lin
