
Section: Summary   Original data
Tabulated Data:   pendf.json   endf.json
Points: 411
Energy (eV)	 
Min
1e-05	Max
2e+07	
From
1e-05
To
2e+07
Get data:
Calculation of Cross Section
for a Single Energy:
Energy (eV) = 
1e-05
Cross Section (b) = 
#LIBRARY    ENDF/B-VIII.0
#REACTION   LI-6(N,T)HE-4,SIG
#NUCLEUS    Li-6
#MF         3
#MT         105
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.8E+06     0.174737     Lin-Lin
 2.9E+06     0.165908     Lin-Lin
 3E+06       0.158205     Lin-Lin
 3.12187E+06 0.150266     Lin-Lin
 3.22257E+06 0.144563     Lin-Lin
 3.32328E+06 0.139542     Lin-Lin
 3.42398E+06 0.13513      Lin-Lin
 3.52469E+06 0.131304     Lin-Lin
 3.62539E+06 0.128063     Lin-Lin
 3.7E+06     0.125979     Lin-Lin
 3.82681E+06 0.124465     Lin-Lin
 3.9E+06     0.123849     Lin-Lin
 4.12892E+06 0.120114     Lin-Lin
 4.33033E+06 0.116063     Lin-Lin
 4.46208E+06 0.112849     Lin-Lin
 4.6E+06     0.108939     Lin-Lin
 4.8E+06     0.102091     Lin-Lin
 4.9E+06     0.0992824    Lin-Lin
 5E+06       0.0969944    Lin-Lin
 5.125E+06   0.0950435    Lin-Lin
 5.2E+06     0.0943366    Lin-Lin
 5.3E+06     0.0941044    Lin-Lin
 5.4E+06     0.094315     Lin-Lin
 5.84091E+06 0.0969098    Lin-Lin
 6E+06       0.0974894    Lin-Lin
 6.2E+06     0.0967766    Lin-Lin
 6.4E+06     0.09448      Lin-Lin
 6.5E+06     0.0927363    Lin-Lin
 6.6E+06     0.0901952    Lin-Lin
 6.8E+06     0.0844079    Lin-Lin
 7E+06       0.0764239    Lin-Lin
 7.2E+06     0.0696402    Lin-Lin
 7.4E+06     0.0639959    Lin-Lin
 7.5E+06     0.061487     Lin-Lin
 7.6E+06     0.0592409    Lin-Lin
 7.8E+06     0.0554447    Lin-Lin
 8E+06       0.0522046    Lin-Lin
 8.2E+06     0.0494083    Lin-Lin
 8.4E+06     0.0471377    Lin-Lin
 8.55E+06    0.0458071    Lin-Lin
 8.6E+06     0.045407     Lin-Lin
 9.5E+06     0.0400002    Lin-Lin
 1.00476E+07 0.0378097    Lin-Lin
 1.01893E+07 0.0372427    Lin-Lin
 1.03331E+07 0.0366677    Lin-Lin
 1.04789E+07 0.0360846    Lin-Lin
 1.06267E+07 0.0354932    Lin-Lin
 1.07766E+07 0.0348935    Lin-Lin
 1.09287E+07 0.0342854    Lin-Lin
 1.1E+07     0.034        Lin-Lin
 1.11552E+07 0.0336896    Lin-Lin
 1.13126E+07 0.0333749    Lin-Lin
 1.14722E+07 0.0330557    Lin-Lin
 1.15E+07    0.033        Lin-Lin
 1.16622E+07 0.032351     Lin-Lin
 1.18268E+07 0.0316929    Lin-Lin
 1.19936E+07 0.0310255    Lin-Lin
 1.21628E+07 0.0303486    Lin-Lin
 1.23344E+07 0.0296623    Lin-Lin
 1.25E+07    0.029        Lin-Lin
 1.26764E+07 0.0286473    Lin-Lin
 1.28552E+07 0.0282896    Lin-Lin
 1.30366E+07 0.0279269    Lin-Lin
 1.32205E+07 0.027559     Lin-Lin
 1.3407E+07  0.027186     Lin-Lin
 1.35961E+07 0.0268077    Lin-Lin
 1.3788E+07  0.0264241    Lin-Lin
 1.39825E+07 0.026035     Lin-Lin
 1.41798E+07 0.0256405    Lin-Lin
 1.43798E+07 0.0252404    Lin-Lin
 1.45827E+07 0.0248346    Lin-Lin
 1.47884E+07 0.0244232    Lin-Lin
 1.4997E+07  0.0240059    Lin-Lin
 1.5E+07     0.024        Lin-Lin
 1.52116E+07 0.0237037    Lin-Lin
 1.54262E+07 0.0234033    Lin-Lin
 1.55E+07    0.0233       Lin-Lin
 1.57187E+07 0.0229501    Lin-Lin
 1.59404E+07 0.0225953    Lin-Lin
 1.6E+07     0.0225       Lin-Lin
 1.62257E+07 0.0220485    Lin-Lin
 1.64546E+07 0.0215907    Lin-Lin
 1.66868E+07 0.0211264    Lin-Lin
 1.69222E+07 0.0206556    Lin-Lin
 1.7161E+07  0.0201781    Lin-Lin
 1.74031E+07 0.0196939    Lin-Lin
 1.76486E+07 0.0192028    Lin-Lin
 1.78976E+07 0.0187048    Lin-Lin
 1.8E+07     0.0185       Lin-Lin
 1.82539E+07 0.0180429    Lin-Lin
 1.85E+07    0.0176       Lin-Lin
 1.8761E+07  0.0171824    Lin-Lin
 1.9E+07     0.0168       Lin-Lin
 1.92681E+07 0.0163175    Lin-Lin
 1.95399E+07 0.0158282    Lin-Lin
 1.98156E+07 0.015332     Lin-Lin
 2E+07       0.015        Lin-Lin
#END

Page generated: 2023-10-03,19:14:53 by E4sGetTabSect on localhost [fwd:www-nds.iaea.org]
Project: "Multi-platform EXFOR-CINDA-ENDF", V.Zerkin, IAEA-NDS, 1999-2023
Request from: 0:0:0:0:0:0:0:1 [fwd:192.249.3.213,172.71.26.10]
